appid,Game,Genre,Developer,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Players 2 Weeks,Players Forever
214950,Total War: ROME II - Emperor Edition,RTS,Creative Assembly,6516.81,6041.61,5322.38,5398.75,5191.42,5423.51,5964.05,5776.24,6089.87,5193.93,5651.19,7678.75,6288.36,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,184543,2483779
447020,Farming Simulator 17,Simulation,Giants Software,5809.79,5243.62,4500.17,4646.43,4810.16,4925.66,5443.37,5189.07,6041.09,6099.83,6594.05,6473.65,6282.75,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,138983,578200
48700,Mount & Blade: Warband,Action,TaleWorlds Entertainment,8087.52,6994.96,7203.3,6539.04,6279.31,7321.64,8543.3,8061.02,6711.52,5573.42,5736.08,6538.89,7436.05,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,254930,2688287
294100,RimWorld,Simulation,Ludeon Studios,8305.95,6385.31,5593.8,5343.21,5702.37,7332.94,6718.67,6124.95,5737.71,5753.01,7031.69,8400.45,7674.39,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,140007,896096
444200,World of Tanks Blitz,Action,Wargaming Group Limited,4648.53,5164.13,4366.62,4228.4,4035.85,4662.38,4899.52,5457.88,5626.29,6519.87,6566.28,7247.03,8200.01,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,261585,2111622
49520,Borderlands 2,RPG,"Gearbox Software, Aspyr (Mac & Linux)",9114.67,6614.71,8039.84,6847.71,5831.66,7256.53,9741.55,6355.3,5783.57,6117.17,8467.58,7865.81,7958.75,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,301770,7311075
438100,VRChat,N/A,VRChat Inc.,1.14,46.24,26.5,22.26,21.14,20.17,24.32,30.66,52.58,130.06,301.22,1745.45,9223.35,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,850536,2443850
268500,XCOM 2,Strategy,"Firaxis, Feral Interactive (Mac), Feral Interactive (Linux)",8301.55,7561.6,5085.28,3588.66,3169.81,5376.67,6903.35,7384.67,17521.32,6148.26,4769.64,5585.48,5526.66,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,127209,1625053
240,Counter-Strike: Source,Shooter,Valve,6696.14,6286.21,5660.6,5258.94,4808.78,4814.22,4836.98,4711.96,4479.86,4585.74,4711.61,5070.85,5494.97,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,275407,11517426
504370,Battlerite,MOBA,Stunlock Studios,1882.84,1322.49,1082.82,2220.06,937.85,1281.07,2496.35,908.15,2028.43,1537.65,16218.08,11340.79,8023.64,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,444080,3437976
489940,BATTALION 1944,N/A,Bulkhead Interactive,1.24,0.5,0.47,0.49,1.05,6.22,1.15,1.35,0.84,0.4,4.11,2.16,4.67,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,125929,125929
250900,The Binding of Isaac: Rebirth,Action,"Nicalis, Inc.",16918.01,11430.4,8033.09,6852.68,5980.5,6241.32,6066.49,5293.28,5060.68,5397.12,5514.29,5782.55,5835.18,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,309193,1984413
378120,Football Manager 2016,Sports,SPORTS INTERACTIVE,11717.75,10766.93,9376.82,8967.96,8955.66,8673.17,7502.06,7425.13,6768.48,5708.47,4993.98,4483.26,4299.21,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,67572,1113145
203770,Crusader Kings II,Strategy,Paradox Development Studio,4223.69,3902.27,5211.55,4134.06,4092.93,3821.44,4162.48,4753.88,4434.48,3627.46,4297.84,5217.52,4845.49,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,133352,1313301
431960,Wallpaper Engine,N/A,Kristjan Skutta,7395.17,8184.55,8934.56,6943.57,6711.2,6839.14,6065.92,5496.23,5981.11,5920.53,6103.28,6851.55,7176.52,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,1143603,4039725
231430,Company of Heroes 2,RTS,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)",4273.26,4300.73,3868.24,3853.32,3617.63,4391.98,3881.49,3646.55,3425.14,3441.34,3458.91,5533.94,4709.87,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,185823,2414928
242760,The Forest,Survival,Endnight Games Ltd,8015.05,4673.83,3160.27,2789.84,2667.8,3306.46,4284.53,3422.98,2937.32,3327.81,3795.89,5091.89,5406.31,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,305097,3681133
